bin,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,DamDensWs,PopDen2010Ws,GTDB classification,Domain,Phylum,Class,Order,Family,Genus,Species,lowest_tax
NASQAN2010_127_B_bin.3,0.011768431882352942,0.5279035224999999,0.02892456344117647,4.8370624615,4.421277823205882,2.907173632794118,1.1774913345882352,0.1737907905,11.911572532852942,23.174655950823528,4.184469352647059,12.864007967941177,11.557145101617648,6.419834365970589,8.376865780029412,4.845711825882353,2.592112991764706,0.00813236955882353,165.87260807064706,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Aestuariivirga,,Aestuariivirga (genus)
NASQAN2010_127_F_bin.3,0.01052964957894737,0.5206730063157895,0.02587987255263158,4.507822197736842,4.095074422684211,2.644723515263158,1.0676211229736843,0.1613569697631579,11.366284717105263,21.558761179578948,4.108610075263158,13.625981380921052,13.107465964026316,6.183835511842106,9.964003393552632,4.710093787789473,2.3518128870263157,0.007989945131578947,149.73394325628948,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylopumilus;s__Methylopumilus universalis,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylopumilus,Methylopumilus universalis,Methylopumilus universalis (species)
NASQAN2010_155_B_bin.13,0.02105929915789474,0.4961423807894737,0.0021496831578947367,6.1361056387894735,6.631825636631579,4.505057474210527,1.7257732619473685,0.150516752,13.53004100463158,18.33520583236842,4.211896893947369,14.523612767,10.200258749,7.108126217052632,6.712922301210527,5.130069677473684,0.6002957256842105,0.011591816684210526,271.90664856621055,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans_A,,Limnohabitans_A (genus)
NASQAN2010_155_F_bin.3,0.02500791775,0.581120289625,0.0192967895,5.483666792375,6.123368329375,4.37896633875,1.7000044483749999,0.31319196475,11.78506270175,22.4865416085625,4.226887206125,16.8830362413125,7.9217347267500005,5.280819351375,6.2114809628125,5.8030030899375,0.8018191535,0.011008435875,243.9984239915,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans_A,,Limnohabitans_A (genus)
NASQAN2010_190_F_bin.12,0.029483419875,0.929738023125,3.1625e-5,3.8157667775,3.029742738,1.6440854522500001,0.49582892175,0.223739614625,17.348074064125,12.6383916855,4.929182511375,15.9970837965,12.175028017125,8.626269122875,12.524511570625,4.35379665175,1.268729416625,0.015334236375,55.02019995825,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__MAG-120802 sp003569145,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,MAG-120802,MAG-120802 sp003569145,MAG-120802 sp003569145 (species)
NASQAN2010_233_B_bin.25,0.0200063342,0.672804406,0.0020421989999999998,6.07748985735,5.56785333395,3.7427502421,1.3837076676,0.1602384189,16.74364667095,15.2200884326,5.6209306955,10.30731291505,13.0694933292,8.5480287348,6.68587175655,5.59641575535,0.6013255817000001,0.01339076685,198.92644161965,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA953;g__UBA953;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,UBA953,UBA953,,UBA953 (genus)
NASQAN2010_233_B_bin.27,0.014122394157894737,0.5235541874736842,0.016249928,5.816535970263158,6.550670293473685,4.4778408894736845,1.7223506221578946,0.2750462466842105,12.419409189789473,17.042509653210526,3.9996819318421055,14.747983582842105,12.631952994789474,5.321877082526316,8.660097172631579,5.101844063631579,0.6923961863157895,0.011692323105263157,269.47334312442104,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp002299885,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Sediminibacterium sp002299885,Sediminibacterium sp002299885 (species)
NASQAN2011_031_F_bin.3,0.014122394157894737,0.8210448989473684,0.0021496831578947367,6.5825965944210525,5.907534380210526,3.9655067324210527,1.4687947770526315,0.1811489677368421,16.863138255210526,10.687444707684211,6.780332358368421,11.309468626421053,10.44509628836842,11.600198830157895,9.169608571473685,3.508593769526316,0.707342555631579,0.015539272105263157,211.78705832784212,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,,Nanopelagicus (genus)
NASQAN2011_051_B_bin.24,0.02105929915789474,0.4806677128947368,0.0021496831578947367,4.563093070842105,3.6339602187894737,2.5485508762631577,0.7937768833157894,0.143369072,12.181012625157894,19.684872890789475,4.433272259578947,11.083341465736842,16.943817418526315,7.294614370473685,9.633912179,5.5013940197894735,1.0781952488421054,0.009068585052631578,128.46469336826317,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans_A,,Limnohabitans_A (genus)
NASQAN2011_051_F_bin.8,0.017888365933333334,0.5063460754,0.002722932,5.7985263878,5.973335004466667,4.0419422186,1.3437975412,0.18510822173333333,12.662289615066667,16.388329444333333,3.756375885466667,14.5178351696,12.652321110466666,7.1344558988,11.035103667933333,3.2034833559333333,0.7980274648,0.012170480266666667,231.07713819713334,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans_A,,Limnohabitans_A (genus)
NASQAN2011_057_B_bin.7,0.014906971611111111,0.5618820586666666,0.01715270177777778,6.078636395388889,5.9003816911666664,4.054083624833333,1.5033936016111111,0.2869907678333333,15.574035047833334,14.185375035555555,4.412081759833334,14.803867202333333,10.663297663611111,7.858233102555555,7.662015732777778,5.700674980888889,0.7378986288888889,0.012341896611111111,216.3994189446111,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,Planktophila,,Planktophila (genus)
